fdc_id,data_type,description,food_category_id,publication_date,sort_description,fields
169646,sr_legacy_food,"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Fruit and Creme",19,2019-04-01,"candies, mars snackfood us, starburst fruit chews, fruit and creme",3
169647,sr_legacy_food,"Candies, MARS SNACKFOOD US, STARBURST Sour Fruit Chews",19,2019-04-01,"candies, mars snackfood us, starburst sour fruit chews",2
169648,sr_legacy_food,"Puddings, banana, dry mix, instant",19,2019-04-01,"puddings, banana, dry mix, instant",3
169649,sr_legacy_food,"Puddings, banana, dry mix, instant, prepared with whole milk",19,2019-04-01,"puddings, banana, dry mix, instant, prepared with whole milk",4
169650,sr_legacy_food,"Puddings, banana, dry mix, regular",19,2019-04-01,"puddings, banana, dry mix, regular",3
169651,sr_legacy_food,"Candies, MARS SNACKFOOD US, COCOAVIA Chocolate Bar",19,2019-04-01,"candies, mars snackfood us, cocoavia chocolate bar",2
169652,sr_legacy_food,"Candies, MARS SNACKFOOD US, COCOAVIA Blueberry and Almond Chocolate Bar",19,2019-04-01,"candies, mars snackfood us, cocoavia blueberry and almond chocolate bar",2
169653,sr_legacy_food,"Candies, MARS SNACKFOOD US, COCOAVIA Crispy Chocolate Bar",19,2019-04-01,"candies, mars snackfood us, cocoavia crispy chocolate bar",2
169654,sr_legacy_food,"Puddings, lemon, dry mix, instant",19,2019-04-01,"puddings, lemon, dry mix, instant",3
169655,sr_legacy_food,"Sugars, granulated",19,2019-04-01,"sugars, granulated",1
169656,sr_legacy_food,"Sugars, powdered",19,2019-04-01,"sugars, powdered",1
169657,sr_legacy_food,"Sweeteners, tabletop, aspartame, EQUAL, packets",19,2019-04-01,"sweeteners, tabletop, aspartame, equal, packets",4
169658,sr_legacy_food,"Sugars, maple",19,2019-04-01,"sugars, maple",1
169659,sr_legacy_food,"Syrups, corn, high-fructose",19,2019-04-01,"syrups, corn, high-fructose",2
169660,sr_legacy_food,"Syrups, malt",19,2019-04-01,"syrups, malt",1
169661,sr_legacy_food,"Syrups, maple",19,2019-04-01,"syrups, maple",1
169662,sr_legacy_food,"Syrups, sorghum",19,2019-04-01,"syrups, sorghum",1
169663,sr_legacy_food,"Candies, MARS SNACKFOOD US, SNICKERS CRUNCHER",19,2019-04-01,"candies, mars snackfood us, snickers cruncher",2
169664,sr_legacy_food,"Toppings, marshmallow cream",19,2019-04-01,"toppings, marshmallow cream",1
169665,sr_legacy_food,"Toppings, pineapple",19,2019-04-01,"toppings, pineapple",1
169666,sr_legacy_food,"Toppings, nuts in syrup",19,2019-04-01,"toppings, nuts in syrup",1
169667,sr_legacy_food,"Candies, MARS SNACKFOOD US, SKITTLES Tropical Bite Size Candies",19,2019-04-01,"candies, mars snackfood us, skittles tropical bite size candies",2
169668,sr_legacy_food,"Frostings, glaze, prepared-from-recipe",19,2019-04-01,"frostings, glaze, prepared-from-recipe",2
169669,sr_legacy_food,"Candies, fudge, chocolate marshmallow, prepared-from-recipe",19,2019-04-01,"candies, fudge, chocolate marshmallow, prepared-from-recipe",3
169670,sr_legacy_food,"Candies, taffy, prepared-from-recipe",19,2019-04-01,"candies, taffy, prepared-from-recipe",2
169671,sr_legacy_food,"Candies, toffee, prepared-from-recipe",19,2019-04-01,"candies, toffee, prepared-from-recipe",2
169672,sr_legacy_food,"Snacks, cornnuts, barbecue-flavor",23,2019-04-01,"snacks, cornnuts, barbecue-flavor",2
169673,sr_legacy_food,"Snacks, crisped rice bar, almond",23,2019-04-01,"snacks, crisped rice bar, almond",2
169674,sr_legacy_food,"Snacks, granola bars, soft, uncoated, chocolate chip",23,2019-04-01,"snacks, granola bars, soft, uncoated, chocolate chip",4
169675,sr_legacy_food,"Snacks, granola bars, soft, uncoated, chocolate chip, graham and marshmallow",23,2019-04-01,"snacks, granola bars, soft, uncoated, chocolate chip, graham and marshmallow",5
169676,sr_legacy_food,"Snacks, granola bars, soft, uncoated, nut and raisin",23,2019-04-01,"snacks, granola bars, soft, uncoated, nut and raisin",4
169677,sr_legacy_food,"Snacks, potato chips, plain, salted",23,2019-04-01,"snacks, potato chips, plain, salted",3
169678,sr_legacy_food,"Snacks, potato chips, made from dried potatoes, cheese-flavor",23,2019-04-01,"snacks, potato chips, made from dried potatoes, cheese-flavor",3
169679,sr_legacy_food,"Snacks, rice cakes, brown rice, corn",23,2019-04-01,"snacks, rice cakes, brown rice, corn",3
169680,sr_legacy_food,"Snacks, rice cakes, brown rice, multigrain",23,2019-04-01,"snacks, rice cakes, brown rice, multigrain",3
169681,sr_legacy_food,"Snacks, granola bars, hard, peanut butter",23,2019-04-01,"snacks, granola bars, hard, peanut butter",3
169682,sr_legacy_food,"Snacks, potato chips, cheese-flavor",23,2019-04-01,"snacks, potato chips, cheese-flavor",2
169683,sr_legacy_food,"Snacks, potato chips, reduced fat",23,2019-04-01,"snacks, potato chips, reduced fat",2
169684,sr_legacy_food,"Snacks, potato chips, fat-free, made with olestra",23,2019-04-01,"snacks, potato chips, fat-free, made with olestra",3
169685,sr_legacy_food,"Popcorn, sugar syrup/caramel, fat-free",23,2019-04-01,"popcorn, sugar syrup/caramel, fat-free",2
169686,sr_legacy_food,"Snacks, potato chips, fat free, salted",23,2019-04-01,"snacks, potato chips, fat free, salted",3
169687,sr_legacy_food,"Snacks, KELLOGG, KELLOGG'S RICE KRISPIES TREATS Squares",23,2019-04-01,"snacks, kellogg, kellogg's rice krispies treats squares",2
169688,sr_legacy_food,"Snacks, KELLOGG, KELLOGG'S Low Fat Granola Bar, Crunchy Almond/Brown Sugar",23,2019-04-01,"snacks, kellogg, kellogg's low fat granola bar, crunchy almond/brown sugar",3
169689,sr_legacy_food,"Snacks, M&M MARS, KUDOS Whole Grain Bar, chocolate chip",23,2019-04-01,"snacks, m&m mars, kudos whole grain bar, chocolate chip",3
169690,sr_legacy_food,"Candies, semisweet chocolate, made with butter",19,2019-04-01,"candies, semisweet chocolate, made with butter",2
169691,sr_legacy_food,"Gelatin desserts, dry mix, with added ascorbic acid, sodium-citrate and salt",19,2019-04-01,"gelatin desserts, dry mix, with added ascorbic acid, sodium-citrate and salt",3
169692,sr_legacy_food,"Gelatin desserts, dry mix, reduced calorie, with aspartame, added phosphorus, potassium, sodium, vitamin C",19,2019-04-01,"gelatin desserts, dry mix, reduced calorie, with aspartame, added phosphorus, potassium, sodium, vitamin c",7
169693,sr_legacy_food,"Gelatin desserts, dry mix, reduced calorie, with aspartame, no added sodium",19,2019-04-01,"gelatin desserts, dry mix, reduced calorie, with aspartame, no added sodium",4
169694,sr_legacy_food,"Corn flour, masa, enriched, white",20,2019-04-01,"corn flour, masa, enriched, white",3
169695,sr_legacy_food,"Corn flour, yellow, degermed, unenriched",20,2019-04-01,"corn flour, yellow, degermed, unenriched",3
169696,sr_legacy_food,"Corn flour, masa, unenriched, white",20,2019-04-01,"corn flour, masa, unenriched, white",3
169697,sr_legacy_food,"Cornmeal, whole-grain, yellow",20,2019-04-01,"cornmeal, whole-grain, yellow",2
169698,sr_legacy_food,Cornstarch,20,2019-04-01,cornstarch,0
169699,sr_legacy_food,"Couscous, dry",20,2019-04-01,"couscous, dry",1
169700,sr_legacy_food,"Couscous, cooked",20,2019-04-01,"couscous, cooked",1
169701,sr_legacy_food,"Hominy, canned, white",20,2019-04-01,"hominy, canned, white",2
169702,sr_legacy_food,"Millet, raw",20,2019-04-01,"millet, raw",1
169703,sr_legacy_food,"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)",20,2019-04-01,"rice, brown, long-grain, raw (includes foods for usda's food distribution program)",3
169704,sr_legacy_food,"Rice, brown, long-grain, cooked (Includes foods for USDA's Food Distribution Program)",20,2019-04-01,"rice, brown, long-grain, cooked (includes foods for usda's food distribution program)",3
169705,sr_legacy_food,Oats (Includes foods for USDA's Food Distribution Program),20,2019-04-01,oats (includes foods for usda's food distribution program),0
169706,sr_legacy_food,"Rice, brown, medium-grain, raw (Includes foods for USDA's Food Distribution Program)",20,2019-04-01,"rice, brown, medium-grain, raw (includes foods for usda's food distribution program)",3
169707,sr_legacy_food,"Rice, white, long-grain, parboiled, enriched, dry",20,2019-04-01,"rice, white, long-grain, parboiled, enriched, dry",5
169708,sr_legacy_food,"Rice, white, long-grain, parboiled, enriched, cooked",20,2019-04-01,"rice, white, long-grain, parboiled, enriched, cooked",5
169709,sr_legacy_food,"Rice, white, long-grain, precooked or instant, enriched, dry",20,2019-04-01,"rice, white, long-grain, precooked or instant, enriched, dry",5
169710,sr_legacy_food,"Rice, white, long-grain, precooked or instant, enriched, prepared",20,2019-04-01,"rice, white, long-grain, precooked or instant, enriched, prepared",5
169711,sr_legacy_food,"Rice, white, glutinous, unenriched, cooked",20,2019-04-01,"rice, white, glutinous, unenriched, cooked",4
169712,sr_legacy_food,"Rice, white, steamed, Chinese restaurant",20,2019-04-01,"rice, white, steamed, chinese restaurant",3
169713,sr_legacy_food,"Rice bran, crude",20,2019-04-01,"rice bran, crude",1
